Organism	Protein	COG	Cat	Annotation
157	217	COG3301	P	Nitrite/polysulfide reductase, membrane component NrfD/PsrC
154	181	COG3303	P	Formate-dependent nitrite reductase, periplasmic cytochrome c552 subunit
168	186	COG3338	P	Carbonic anhydrase
424	660	COG3350	P	Heavy metal-bindng TRASH/YHS domain, predicted Cu/Ag metallochaperone
126	134	COG3376	P	High-affinity nickel/cobalt permease
282	455	COG3420	P	Nitrous oxide reductase accessory protein NosD, contains tandem CASH domains
75	76	COG3443	P	Periplasmic Zn/Cd-binding protein ZinT
178	257	COG3454	P	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase PhnM
372	697	COG3540	P	Phosphodiesterase/alkaline phosphatase D
240	324	COG3546	P	Mn-containing catalase (includes spore coat protein CotJC)
105	137	COG3615	P	Tellurite resistance protein TehB, SAM-dependent methylase, cupin superfamily
152	163	COG3624	P	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG
161	173	COG3625	P	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH
157	170	COG3626	P	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI
154	166	COG3627	P	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase PhnJ
374	515	COG3638	P	ABC-type phosphate/phosphonate transport system, ATPase component
376	756	COG3639	P	ABC-type phosphate/phosphonate transport system, permease component
153	235	COG3667	P	Uncharacterized conserved protein involved in copper resistance
96	107	COG3684	G P	Tagatose-1,6-bisphosphate/sulfofructosephosphate aldolase
193	390	COG3685	P	Ferritin-like metal-binding protein YciE
485	1371	COG3696	P	Cu/Ag efflux pump CusA
49	50	COG3700	P R	Acid phosphatase, class B
254	316	COG3703	P	Gamma-glutamylcyclotransferase ChaC2 (glutathione degradation)
289	1785	COG3712	T P	Periplasmic ferric-dicitrate binding protein FecR, regulates iron transport
185	187	COG3720	P	Putative heme degradation protein
77	81	COG3721	P	Putative heme iron utilization protein
174	288	COG3746	P	Phosphate-selective porin
231	344	COG3781	P	Predicted membrane chloride channel, bestrophin family
130	147	COG3793	P	Tellurite resistance protein TerB
72	80	COG3965	P	Predicted Co/Zn/Cd cation transporter, cation efflux family
175	211	COG4097	P	Predicted ferric reductase
186	190	COG4100	P R	Cystathionine beta-lyase family protein involved in aluminum resistance
264	307	COG4103	P	Tellurite resistance protein TerB
156	166	COG4107	P	ABC-type phosphonate transport system, ATPase component PhnK
123	140	COG4114	P	Ferric iron reductase protein FhuF, involved in iron transport
224	268	COG4117	P	Thiosulfate reductase cytochrome b subunit
377	397	COG4148	P	ABC-type molybdate transport system, ATPase component ModC
760	819	COG4149	P	ABC-type molybdate transport system, permease component ModB
90	90	COG4150	P	ABC-type sulfate transport system, periplasmic component
357	394	COG4208	P	ABC-type sulfate transport system, permease component
148	152	COG4263	P	Nitrous oxide reductase
187	350	COG4264	P	Siderophore synthetase component IucA/IucC/SbnC
113	133	COG4275	P	Chromate resistance protein ChrB1
98	141	COG4300	P	Cadmium resistance protein CadD, predicted permease
163	240	COG4314	P	Nitrous oxide reductase accessory protein NosL
61	73	COG4362	P	Nitric oxide synthase, oxygenase domain
140	155	COG4521	P	ABC-type taurine transport system, periplasmic component
79	82	COG4525	P	ABC-type taurine transport system, ATPase component
212	224	COG4531	P	ABC-type Zn2+ transport system, periplasmic component/surface adhesin ZnuA
309	307	COG4535	P	Mg2+ and Co2+ transporter CorC, contains CBS pair and CorC-HlyC domains
389	392	COG4536	P	Mg2+ and Co2+ transporter CorB, contains DUF21, CBS pair, and CorC-HlyC domains
234	313	COG4548	P	Nitric oxide reductase activation protein
90	95	COG4555	C P	ABC-type Na+ transport system, ATPase component NatA
299	317	COG4558	P	ABC-type hemin transport system, periplasmic component
168	174	COG4559	P	ABC-type hemin transport system, ATPase component
96	113	COG4572	P	Cation transport regulator ChaB
69	72	COG4592	P	ABC-type Fe2+-enterobactin transport system, periplasmic component
86	113	COG4594	P	ABC-type Fe3+-citrate transport system, periplasmic component
193	196	COG4604	P	ABC-type enterochelin transport system, ATPase component
193	198	COG4605	P	ABC-type enterochelin transport system, permease component
191	195	COG4606	P	ABC-type enterochelin transport system, permease component
212	239	COG4607	P	ABC-type enterochelin transport system, periplasmic component
140	182	COG4615	P	ABC-type siderophore export system, fused ATPase and permease components
156	161	COG4619	P	ABC-type iron transporter FetAB, ATPase component
465	1707	COG4638	P R	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit
399	473	COG4651	P	Predicted Kef-type K+ transport protein, K+/H+ antiporter domain
210	220	COG4662	P	ABC-type tungstate transport system, periplasmic component
30	31	COG4693	P	Oxidoreductase (NAD-binding), involved in siderophore biosynthesis
576	4929	COG4771	P	Outer membrane receptor for ferrienterochelin and colicins
252	386	COG4772	P	Outer membrane receptor for Fe3+-dicitrate
331	1016	COG4773	P	Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid
343	808	COG4774	P	Outer membrane receptor for monomeric catechols
158	170	COG4778	P	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL
199	334	COG4779	P	ABC-type enterobactin transport system, permease component
12	16	COG4881	P	Predicted membrane anchor for polysulfide/nitrite-type reductase, PsrC/NrfD syperfamily
92	91	COG4985	P	ABC-type phosphate transport system, auxiliary component PstA
131	135	COG4986	P	ABC-type anion transport system, duplicated permease component
243	287	COG5013	C P	Nitrate reductase alpha subunit
27	27	COG5036	U P	SPX domain-containing protein involved in vacuolar polyphosphate accumulation
25	59	COG5386	P	Heme-binding NEAT domain
63	64	COG5446	P	Putative cobalt transporter membrane subunit CbtA
103	138	COG5455	P	Periplasmic regulator RcnB of Ni and Co efflux
141	144	COG5456	P	Nitrogen fixation protein FixH
97	123	COG5478	P	Low affinity Fe/Cu permease
205	363	COG5569	P	Periplasmic Cu and Ag efflux protein CusF
36	36	COG5612	P	Ni/Co/Cd-binding protein CnrX (heavy-metal resistance)
179	224	COG5646	O P	Iron-binding protein Fra/YdhG, frataxin family (Fe-S cluster biosynthesis)
