MAG Id;Sample;Accession;CheckM Completeness;CheckM Contamination;CheckM Strain heterogeneity;Anvio Completion;Anvio Redundancy;GTDB Taxonomy;Checkm Taxonomy;Anvio Domain;Dereplication Cluster;Representative MAG;Genome size;# scaffolds;N50 (scaffolds);Longest scaffold;# ambiguous bases;# predicted genes;Translation table;Coding density;GC Content;GC Content (sd);High Quality;EMOSE_N010000413;EMOSE_N010000990;EMOSE_N010000419;EMOSE_N020000414;EMOSE_N010000414;EMOSE_N010000416;EMOSE_N010000415;EMOSE_N010000417;EMOSE_N030000421;EMOSE_N030000991;EMOSE_N010000418;EMOSE_N010000424;EMOSE_N010000407;EMOSE_N010000368;EMOSE_N010000401;EMOSE_N010000995;EMOSE_N010000372;EMOSE_N010000405;EMOSE_N010000411;EMOSE_N020000340;EMOSE_N010000340;EMOSE_N010000344;EMOSE_N010000346;EMOSE_N020000684;EMOSE_N030000829;EMOSE_N040000340
ETHSEQ0000004021_metabat2_a26.c2k.e500.76;EMOSE_N010000413;ERR2098365;94,7;0,05;100;94,96;1,44;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1936760;93;38738;157435;3710;2193;11;0,887612301;0,547493857;0,032176398;VERDADERO;41,13206129;44,8551;55,15434839;71,02064086;52,51751398;62,2798871;54,05752258;60,1929;85,99454301;84,11764086;28,65137097;40,36484301;74,13530215;82,6099914;98,92612473;33,64335484;71,10145376;82,99899032;63,58455914;74,21375376;73,52910323;69,25103333;58,06173548;34,3009914;37,3058914;137,9075613
ETHSEQ0000004028_metabat2_a26.c2k.e500.60;EMOSE_N010000417;ERR2098372;94,29;0,14;100;92,81;2,16;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1919315;92;40362;144288;3600;2172;11;0,887421815;0,547089729;0,032743049;VERDADERO;41,19616413;45,15955109;55,81249457;71,55151304;52,79518587;62,6193587;54,84623043;60,80211196;86,74254239;84,88336739;28,76340761;40,42986196;74,38965217;82,80280978;99,82682717;33,79206848;71,26081413;83,0268913;63,84136522;74,51219674;73,55242065;69,32635543;58,2067413;34,47596413;37,34678913;138,6584272
ETHSEQ0000004046_metabat2_a26.c2k.e500.46;EMOSE_N010000411;ERR2098390;93,25;0;0;89,21;1,44;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.8);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1866815;68;42254;212681;3300;2089;11;0,888993285;0,547756256;0,025593607;VERDADERO;41,87444706;45,56227647;56,36911618;72,65239412;53,75959706;63,72196176;55,5666;61,39497941;88,409775;86,29931324;29,32312353;41,00516618;75,03149706;83,84640441;101,4868338;34,33348088;72,08485735;84,11166912;65,01206324;75,30243382;74,57108676;70,06997059;58,56515147;35,00171029;37,72442794;140,8926971
ETHSEQ0000004065_metabat2_a26.c2k.e500.17;EMOSE_N030000829;ERR2098409;94,84;0;0;94,24;1,44;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (1.0);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1983082;82;38949;114946;4500;2245;11;0,885693078;0,546712747;0,029334002;VERDADERO;41,14020976;45,07893049;55,16165488;71,14244634;52,5832439;62,5112061;54,13241341;60,20852927;86,06192927;84,09000732;28,85734512;40,77096098;74,5784622;83,22622927;99,62808537;33,70732561;71,44258659;83,10172195;64,35380122;75,29023415;74,1307561;70,17867927;58,89587073;35,66132683;39,31811098;139,2216573
ETHSEQ0000004036_metabat2_a26.c2k.e500.22;EMOSE_N010000401;ERR2098380;92,12;0,41;0;90,65;2,16;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1900203;106;31959;150559;3510;2171;11;0,887877769;0,546481165;0,028452747;VERDADERO;41,86228962;45,76091981;56,58570377;72,63124434;53,78286321;63,76298679;55,63428868;61,5166283;88,20543113;86,1547783;29,16030283;41,43278774;75,49275;84,33484528;101,6535981;34,06661226;72,48519906;84,68245;64,96671887;75,71520377;75,01557642;70,34968774;59,1088783;35,06686132;37,97513113;140,6383368
ETHSEQ0000004055_metabat2_a26.c2k.e500.32;EMOSE_N010000340;ERR2098399;92,26;0;0;90,65;1,44;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1902635;84;42059;177825;2600;2153;11;0,890083489;0,546603615;0,029656591;VERDADERO;41,36994286;45,24132143;55,51791667;71,46859167;53,20273571;62,9224381;54,58022024;60,72590119;86,73468214;85,06985476;28,947;40,70298452;74,73980833;83,17255357;100,2359702;34,02077619;71,71509405;83,43529167;64,29705833;75,14924167;74,32977143;69,93350714;58,43670595;34,76413095;37,86019167;139,9209845
ETHSEQ0000004054_metabat2_a26.c2k.e500.51;EMOSE_N020000340;ERR2098398;93,75;0;0;93,53;2,88;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (1.0);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1902651;82;61277;156948;3710;2136;11;0,892336535;0,54795278;0,028589298;VERDADERO;41,65349268;45,46162561;56,7039378;72,88078415;53,55521341;63,58667805;55,88909268;61,63529634;88,54492195;85,92691585;29,34665;41,10372561;75,27181707;83,89688659;102,0856829;34,31817317;72,33621341;84,20255366;65,27265244;75,61622317;74,74333902;70,44646707;59,1090439;35,79236951;38,42766098;141,3708659
ETHSEQ0000004037_metabat2_a26.c2k.e500.59;EMOSE_N010000995;ERR2098381;93,48;0,05;100;94,96;1,44;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1936205;88;37212;131875;3200;2186;11;0,886250165;0,546525229;0,033420618;VERDADERO;41,49564886;45,51704773;56,04723864;71,91369432;53,06694432;62,84615227;54,81154773;60,95295568;87,28162614;85,20832841;28,96189205;40,9067;75,30650455;83,74755114;100,2020909;34,29239318;71,87190909;84,15983409;64,40030227;75,06575682;74,5713875;70,18380114;58,94961591;34,77530114;37,76477841;139,9475057
ETHSEQ0000004030_metabat2_a26.c2k.e500.48;EMOSE_N030000991;ERR2098374;92,93;0;0;92,81;1,44;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1896023;91;35128;125551;3100;2149;11;0,889159572;0,54697629;0,030857221;VERDADERO;41,84280769;45,78788901;56,40483956;72,5735022;53,50642637;63,78605934;55,33975275;61,46004505;87,78346593;86,11363846;29,21303407;41,19371209;75,71180879;84,29349231;101,3260088;34,26675165;72,45737912;84,65648681;64,94096264;75,69946923;75,0315011;70,59615824;59,30486264;34,98005604;38,00250659;140,8755648
ETHSEQ0000004057_metabat2_a26.c2k.e500.28;EMOSE_N010000346;ERR2098401;94,29;0,27;0;96,4;2,16;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (1.0);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1932887;76;41854;173852;4400;2184;11;0,884978791;0,546690748;0,033976367;VERDADERO;41,85605263;45,666975;56,04936711;72,07537105;53,27290526;63,26005658;54,974975;61,19210132;87,63168553;85,41233026;29,14813026;41,11258816;75,51860395;84,09749342;100,9822724;34,27660921;72,20967763;84,31275263;64,95596447;75,78056053;74,78086184;70,63816711;59,46735921;35,48021711;38,75261316;140,5009145
ETHSEQ0000004069_metabat2_a26.c2k.e500.98;EMOSE_N040000340;ERR2196984;88,59;0;0;85,61;3,6;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.8);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1746996;124;27716;144735;2800;1997;11;0,894743892;0,550244353;0,025827431;FALSO;42,91453145;46,92321694;57,94535242;74,88849355;55,32552258;65,43115242;57,2438621;62,96976048;90,84654758;88,62084355;30,05845081;41,97829516;77,16797984;86,35234113;104,8915484;35,25429597;74,12002016;86,55532419;66,87607661;77,59266532;76,68976532;72,11515565;60,32851452;36,24419032;39,32232258;145,3129234
ETHSEQ0000004023_metabat2_a26.c2k.e500.33;EMOSE_N010000419;ERR2098367;94,02;0,27;0;92,81;1,44;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1927748;77;44123;112597;3500;2174;11;0,889213735;0,546026812;0,032308493;VERDADERO;41,16060519;45,03871558;55,43577143;70,78947143;52,22285714;62,48663506;53,96871169;60,22839481;85,92191818;83,96660779;28,70043636;40,52803117;74,4;83,08923117;99,26903766;33,66472987;71,24459091;83,40771429;63,7467987;74,62206623;73,92327273;69,9061987;58,79862338;34,19584675;37,66003506;138,5309792
ETHSEQ0000004045_metabat2_a26.c2k.e500.54;EMOSE_N010000405;ERR2098389;93,07;0,54;33,33;92,09;2,16;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1898931;89;41473;157049;4100;2139;11;0,889826961;0,54766784;0,027554717;VERDADERO;41,62318989;45,34194607;56,37400112;72,5749573;53,61395955;63,49075056;55,51508764;61,20269775;88,33980899;85,61279213;29,0659427;41,13272584;75,12258427;83,58863371;101,4556528;34,26134607;72,03234382;84,25169663;65,05413146;75,28492247;74,94574045;70,29883371;58,88662809;35,54048315;38,5553236;140,7006348
ETHSEQ0000004031_metabat2_a26.c2k.e500.6;EMOSE_N010000418;ERR2098375;93,34;0,05;100;99,28;0;"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__";c__Gammaproteobacteria;BACTERIA (1.0);24_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.67.fa;2289240;147;29409;98784;5900;2182;11;0,916180042;0,528292326;0,010911081;VERDADERO;47,10679524;52,31452245;48,10008639;72,6764619;50,82501293;78,65513061;49,60673469;67,50490816;82,57538776;95,13526395;28,37569864;40,54184218;69,30557551;78,06650748;65,39133265;39,06782585;96,90978776;106,8159707;106,858202;110,4374204;93,13507279;120,1478483;95,75121497;144,8537905;212,3097653;219,844402
ETHSEQ0000004064_metabat2_a26.c2k.e500.66;EMOSE_N020000684;ERR2098408;92,73;0;0;100;0,72;"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__";c__Gammaproteobacteria;BACTERIA (1.0);24_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.67.fa;2217729;148;27620;83157;6010;2096;11;0,919736812;0,528809492;0,011409162;VERDADERO;48,76725338;54,06300743;49,82892432;75,32044459;52,50086689;81,35227838;51,60263649;69,75537432;85,97837703;98,83555811;28,81756216;42,14033041;71,58905541;80,98800878;67,78678851;40,43743446;100,3391068;110,6600486;110,7586723;114,2099203;96,08581486;124,2592709;98,71110541;151,2836791;220,1021216;227,7995878
ETHSEQ0000004022_metabat2_a26.c2k.e500.67;EMOSE_N010000990;ERR2098366;94,29;0;0;100;0,72;"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__";c__Gammaproteobacteria;BACTERIA (1.0);24_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.67.fa;2261602;142;27918;100660;6500;2152;11;0,9142453;0,528402263;0,01226364;VERDADERO;47,71811549;53,31435211;48,67602535;73,96235211;51,55678521;79,79705845;50,44341972;68,51092394;84,21861761;96,31423028;28,14612958;41,35666127;70,20457535;78,99303662;66,14812535;39,65674014;98,47860282;108,5685408;108,8645169;111,9709127;94,04160423;121,7275028;96,88861831;147,4419239;215,4008852;222,8464782
ETHSEQ0000004044_metabat2_a26.c2k.e500.98;EMOSE_N010000372;ERR2098388;92,95;0;0;99,28;0;"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__";c__Gammaproteobacteria;BACTERIA (1.0);24_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.67.fa;2223017;151;28476;83287;5200;2116;11;0,920221033;0,529067998;0,012279668;VERDADERO;48,91783377;54,16181589;49,82635629;75,29038344;52,51341656;81,48814702;51,64267219;69,90598344;85,86981921;98,49560464;28,86457417;42,11174172;71,74810662;80,74843377;67,48274305;40,58178146;100,9301728;110,9261907;111,0293199;114,2390556;95,92742848;124,1668119;98,97122384;150,1380232;219,7975033;227,7800464
ETHSEQ0000004026_metabat2_a26.c2k.e500.53;EMOSE_N010000416;ERR2098370;92,64;0,11;100;100;0;"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__";c__Gammaproteobacteria;BACTERIA (1.0);24_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.67.fa;2233167;144;26099;97090;5900;2129;11;0,915720589;0,528171521;0,011208667;VERDADERO;49,40363264;54,80188125;50,19877778;76,27766319;52,97948681;82,57706667;52,06159653;70,60564792;86,76039861;99,65687778;29,11226458;42,58862153;72,47948403;81,63259236;68,06681806;40,81751319;101,5159222;112,0543326;112,3152528;115,8040736;97,17957083;125,7607312;100,0829174;151,8955868;222,5407014;230,4290833
ETHSEQ0000004029_metabat2_a26.c2k.e500.49;EMOSE_N030000421;ERR2098373;93,27;0,11;100;98,56;0;"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__";c__Gammaproteobacteria;BACTERIA (0.9);24_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.67.fa;2233407;148;27803;77788;5200;2110;11;0,915497265;0,528809487;0,011613572;VERDADERO;48,85862297;54,28080338;50,11207905;75,58913108;52,7814973;81,63548514;51,81451486;70,15438108;87,1248777;98,94979595;28,76311892;42,36029257;71,74037297;81,03081824;67,80340811;40,59793851;100,58925;110,9551027;111,2245986;114,5442845;96,13193784;124,2541122;99,37740473;150,9556345;220,1005824;227,9279797
