Category	Function	PName	PClass
Metabolism	Lipid metabolism	Synthesis and degradation of ketone bodies	Lipid metabolism
Metabolism	Lipid metabolism	Cutin, suberine and wax biosynthesis	Lipid metabolism
Metabolism	Lipid metabolism	Steroid biosynthesis	Lipid metabolism
Metabolism	Lipid metabolism	Primary bile acid biosynthesis	Lipid metabolism
Metabolism	Lipid metabolism	Secondary bile acid biosynthesis	Lipid metabolism
Metabolism	Lipid metabolism	Steroid hormone biosynthesis	Lipid metabolism
Metabolism	Lipid metabolism	Glycerolipid metabolism	Lipid metabolism
Metabolism	Lipid metabolism	Glycerophospholipid metabolism	Lipid metabolism
Metabolism	Lipid metabolism	Ether lipid metabolism	Lipid metabolism
Metabolism	Lipid metabolism	Sphingolipid metabolism	Lipid metabolism
Metabolism	Lipid metabolism	Arachidonic acid metabolism	Lipid metabolism
Metabolism	Lipid metabolism	Linoleic acid metabolism	Lipid metabolism
Metabolism	Lipid metabolism	alpha-Linolenic acid metabolism	Lipid metabolism
Metabolism	Lipid metabolism	Biosynthesis of unsaturated fatty acids	Lipid metabolism
Metabolism	Nucleotide metabolism	Purine metabolism	Nucleotide metabolism
Metabolism	Nucleotide metabolism	Pyrimidine metabolism	Nucleotide metabolism
Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism	Amino acid metabolism
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism	Amino acid metabolism
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism	Amino acid metabolism
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation	Amino acid metabolism
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis	Amino acid metabolism
Metabolism	Amino acid metabolism	Lysine biosynthesis	Amino acid metabolism
Metabolism	Amino acid metabolism	Lysine degradation	Amino acid metabolism
Metabolism	Amino acid metabolism	Arginine biosynthesis	Amino acid metabolism
Metabolism	Amino acid metabolism	Arginine and proline metabolism	Amino acid metabolism
Metabolism	Amino acid metabolism	Histidine metabolism	Amino acid metabolism
Metabolism	Amino acid metabolism	Tyrosine metabolism	Amino acid metabolism
Metabolism	Amino acid metabolism	Phenylalanine metabolism	Amino acid metabolism
Metabolism	Amino acid metabolism	Tryptophan metabolism	Amino acid metabolism
Metabolism	Amino acid metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Amino acid metabolism
Metabolism	Metabolism of other amino acids	beta-Alanine metabolism	Amino acid derivates metabolism
Metabolism	Metabolism of other amino acids	Taurine and hypotaurine metabolism	Amino acid derivates metabolism
Metabolism	Metabolism of other amino acids	Phosphonate and phosphinate metabolism	Amino acid derivates metabolism
Metabolism	Metabolism of other amino acids	Selenocompound metabolism	Amino acid derivates metabolism
Metabolism	Metabolism of other amino acids	Cyanoamino acid metabolism	Amino acid derivates metabolism
Metabolism	Metabolism of other amino acids	D-Glutamine and D-glutamate metabolism	Amino acid derivates metabolism
Metabolism	Metabolism of other amino acids	D-Arginine and D-ornithine metabolism	Amino acid derivates metabolism
Metabolism	Metabolism of other amino acids	D-Alanine metabolism	Amino acid derivates metabolism
Metabolism	Metabolism of other amino acids	Glutathione metabolism	Amino acid derivates metabolism
Metabolism	Glycan biosynthesis and metabolism	N-Glycan biosynthesis	Glycan biosynthesis and metabolism
Metabolism	Glycan biosynthesis and metabolism	Various types of N-glycan biosynthesis	Glycan biosynthesis and metabolism
Metabolism	Glycan biosynthesis and metabolism	Mucin type O-Glycan biosynthesis	Glycan biosynthesis and metabolism
Metabolism	Glycan biosynthesis and metabolism	Other types of O-glycan biosynthesis	Glycan biosynthesis and metabolism
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	Glycan biosynthesis and metabolism
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	Glycan biosynthesis and metabolism
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - keratan sulfate	Glycan biosynthesis and metabolism
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan degradation	Glycan biosynthesis and metabolism
Metabolism	Glycan biosynthesis and metabolism	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	Glycan biosynthesis and metabolism
Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - lacto and neolacto series	Glycan biosynthesis and metabolism
Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - globo series	Glycan biosynthesis and metabolism
Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - ganglio series	Glycan biosynthesis and metabolism
Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
Metabolism	Glycan biosynthesis and metabolism	Other glycan degradation	Glycan biosynthesis and metabolism
Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	Metabolism of cofactors and vitamins
Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism	Metabolism of cofactors and vitamins
Metabolism	Metabolism of cofactors and vitamins	Vitamin B6 metabolism	Metabolism of cofactors and vitamins
Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	Metabolism of cofactors and vitamins
Metabolism	Metabolism of cofactors and vitamins	Biotin metabolism	Metabolism of cofactors and vitamins
Metabolism	Metabolism of cofactors and vitamins	Lipoic acid metabolism	Metabolism of cofactors and vitamins
Metabolism	Metabolism of cofactors and vitamins	Folate biosynthesis	Metabolism of cofactors and vitamins
Metabolism	Metabolism of cofactors and vitamins	One carbon pool by folate	Metabolism of cofactors and vitamins
Metabolism	Metabolism of cofactors and vitamins	Retinol metabolism	Metabolism of cofactors and vitamins
Metabolism	Metabolism of cofactors and vitamins	Porphyrin and chlorophyll metabolism	Metabolism of cofactors and vitamins
Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism of cofactors and vitamins
Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Monoterpenoid biosynthesis	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Sesquiterpenoid and triterpenoid biosynthesis	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid biosynthesis	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Carotenoid biosynthesis	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Brassinosteroid biosynthesis	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Insect hormone biosynthesis	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Zeatin biosynthesis	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Limonene and pinene degradation	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Geraniol degradation	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Type I polyketide structures	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of 12-, 14- and 16-membered macrolides	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of ansamycins	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of type II polyketide backbone	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of type II polyketide products	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Tetracycline biosynthesis	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Polyketide sugar unit biosynthesis	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Nonribosomal peptide structures	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	Metabolism of terpenoids and polyketides
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of vancomycin group antibiotics	Metabolism of terpenoids and polyketides
Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Stilbenoid, diarylheptanoid and gingerol biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Acridone alkaloid biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Betalain biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Benzoxazinoid biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Clavulanic acid biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Streptomycin biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Butirosin and neomycin biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Puromycin biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	Aflatoxin biosynthesis	Biosynthesis of secondary metabolites
Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Aminobenzoate degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Fluorobenzoate degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane and chloroalkene degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Chlorocyclohexane and chlorobenzene degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Toluene degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Xylene degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Nitrotoluene degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Ethylbenzene degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Styrene degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Atrazine degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Caprolactam degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	DDT degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Bisphenol degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Dioxin degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Naphthalene degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Polycyclic aromatic hydrocarbon degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Furfural degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Steroid degradation	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Metabolism of xenobiotics by cytochrome P450	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - cytochrome P450	Xenobiotics biodegradation and metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes	Xenobiotics biodegradation and metabolism
Metabolism	Chemical structure transformation maps	Overview of biosynthetic pathways	Biosynthesis of secondary metabolites
Metabolism	Chemical structure transformation maps	Biosynthesis of plant secondary metabolites	Biosynthesis of secondary metabolites
Metabolism	Chemical structure transformation maps	Biosynthesis of phenylpropanoids	Biosynthesis of secondary metabolites
Metabolism	Chemical structure transformation maps	Biosynthesis of terpenoids and steroids	Biosynthesis of secondary metabolites
Metabolism	Chemical structure transformation maps	Biosynthesis of alkaloids derived from shikimate pathway	Biosynthesis of secondary metabolites
Metabolism	Chemical structure transformation maps	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid	Biosynthesis of secondary metabolites
Metabolism	Chemical structure transformation maps	Biosynthesis of alkaloids derived from histidine and purine	Biosynthesis of secondary metabolites
Metabolism	Chemical structure transformation maps	Biosynthesis of alkaloids derived from terpenoid and polyketide	Biosynthesis of secondary metabolites
Metabolism	Chemical structure transformation maps	Biosynthesis of plant hormones	Biosynthesis of secondary metabolites
Genetic Information Processing	Transcription	RNA polymerase	Transcription
Genetic Information Processing	Transcription	Basal transcription factors	Transcription
Genetic Information Processing	Transcription	Spliceosome	Transcription
Genetic Information Processing	Translation	Ribosome	Translation
Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis	Translation
Genetic Information Processing	Translation	RNA transport	Translation
Genetic Information Processing	Translation	mRNA surveillance pathway	Translation
Genetic Information Processing	Translation	Ribosome biogenesis in eukaryotes	Translation
Genetic Information Processing	Folding, sorting and degradation	Protein export	Folding, sorting and degradation
Genetic Information Processing	Folding, sorting and degradation	Protein processing in endoplasmic reticulum	Folding, sorting and degradation
Genetic Information Processing	Folding, sorting and degradation	SNARE interactions in vesicular transport	Folding, sorting and degradation
Genetic Information Processing	Folding, sorting and degradation	Ubiquitin mediated proteolysis	Folding, sorting and degradation
Genetic Information Processing	Folding, sorting and degradation	Sulfur relay system	Folding, sorting and degradation
Genetic Information Processing	Folding, sorting and degradation	Proteasome	Folding, sorting and degradation
Genetic Information Processing	Folding, sorting and degradation	RNA degradation	Folding, sorting and degradation
Genetic Information Processing	Replication and repair	DNA replication	Replication and repair
Genetic Information Processing	Replication and repair	Base excision repair	Replication and repair
Genetic Information Processing	Replication and repair	Nucleotide excision repair	Replication and repair
Genetic Information Processing	Replication and repair	Mismatch repair	Replication and repair
Genetic Information Processing	Replication and repair	Homologous recombination	Replication and repair
Genetic Information Processing	Replication and repair	Non-homologous end-joining	Replication and repair
Genetic Information Processing	Replication and repair	Fanconi anemia pathway	Replication and repair
Environmental Information Processing	Membrane transport	ABC transporters	Membrane transport
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	Membrane transport
Environmental Information Processing	Membrane transport	Bacterial secretion system	Membrane transport
Environmental Information Processing	Signal transduction	Two-component system	Signal transduction
Environmental Information Processing	Signal transduction	Ras signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	Rap1 signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	MAPK signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	Signal transduction
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	Signal transduction
Environmental Information Processing	Signal transduction	ErbB signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	Wnt signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	Notch signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	Hedgehog signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	TGF-beta signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	Hippo signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	Hippo signaling pathway - fly	Signal transduction
Environmental Information Processing	Signal transduction	VEGF signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	Jak-STAT signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	NF-kappa B signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	TNF signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	HIF-1 signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	FoxO signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	Calcium signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	Phosphatidylinositol signaling system	Signal transduction
Environmental Information Processing	Signal transduction	Sphingolipid signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	cAMP signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	cGMP-PKG signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	PI3K-Akt signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	AMPK signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	mTOR signaling pathway	Signal transduction
Environmental Information Processing	Signal transduction	Plant hormone signal transduction	Signal transduction
Environmental Information Processing	Signaling molecules and interaction	Neuroactive ligand-receptor interaction	Signaling molecules and interaction
Environmental Information Processing	Signaling molecules and interaction	Cytokine-cytokine receptor interaction	Signaling molecules and interaction
Environmental Information Processing	Signaling molecules and interaction	ECM-receptor interaction	Signaling molecules and interaction
Environmental Information Processing	Signaling molecules and interaction	Cell adhesion molecules (CAMs)	Signaling molecules and interaction
Cellular Processes	Transport and catabolism	Endocytosis	Transport and catabolism
Cellular Processes	Transport and catabolism	Phagosome	Transport and catabolism
Cellular Processes	Transport and catabolism	Lysosome	Transport and catabolism
Cellular Processes	Transport and catabolism	Peroxisome	Transport and catabolism
Cellular Processes	Transport and catabolism	Regulation of autophagy	Transport and catabolism
Cellular Processes	Cell motility	Bacterial chemotaxis	Cell motility
Cellular Processes	Cell motility	Flagellar assembly	Cell motility
Cellular Processes	Cell motility	Regulation of actin cytoskeleton	Cell motility
Cellular Processes	Cell growth and death	Cell cycle	Cell growth and death
Cellular Processes	Cell growth and death	Cell cycle - yeast	Cell growth and death
Cellular Processes	Cell growth and death	Cell cycle - Caulobacter	Cell growth and death
Cellular Processes	Cell growth and death	Meiosis - yeast	Cell growth and death
Cellular Processes	Cell growth and death	Oocyte meiosis	Cell growth and death
Cellular Processes	Cell growth and death	Apoptosis	Cell growth and death
Cellular Processes	Cell growth and death	p53 signaling pathway	Cell growth and death
Cellular Processes	Cellular community	Focal adhesion	Cellular community
Cellular Processes	Cellular community	Adherens junction	Cellular community
Cellular Processes	Cellular community	Tight junction	Cellular community
Cellular Processes	Cellular community	Gap junction	Cellular community
Cellular Processes	Cellular community	Signaling pathways regulating pluripotency of stem cells	Cellular community
Organismal Systems	Immune system	Hematopoietic cell lineage	Other
Organismal Systems	Immune system	Complement and coagulation cascades	Other
Organismal Systems	Immune system	Platelet activation	Other
Organismal Systems	Immune system	Toll-like receptor signaling pathway	Other
Organismal Systems	Immune system	NOD-like receptor signaling pathway	Other
Organismal Systems	Immune system	RIG-I-like receptor signaling pathway	Other
Organismal Systems	Immune system	Cytosolic DNA-sensing pathway	Other
Organismal Systems	Immune system	Natural killer cell mediated cytotoxicity	Other
Organismal Systems	Immune system	Antigen processing and presentation	Other
Organismal Systems	Immune system	T cell receptor signaling pathway	Other
Organismal Systems	Immune system	B cell receptor signaling pathway	Other
Organismal Systems	Immune system	Fc epsilon RI signaling pathway	Other
Organismal Systems	Immune system	Fc gamma R-mediated phagocytosis	Other
Organismal Systems	Immune system	Leukocyte transendothelial migration	Other
Organismal Systems	Immune system	Intestinal immune network for IgA production	Other
Organismal Systems	Immune system	Chemokine signaling pathway	Other
Organismal Systems	Endocrine system	Insulin secretion	Other
Organismal Systems	Endocrine system	Insulin signaling pathway	Other
Organismal Systems	Endocrine system	Glucagon signaling pathway	Other
Organismal Systems	Endocrine system	Regulation of lipolysis in adipocytes	Other
Organismal Systems	Endocrine system	Adipocytokine signaling pathway	Other
Organismal Systems	Endocrine system	PPAR signaling pathway	Other
Organismal Systems	Endocrine system	GnRH signaling pathway	Other
Organismal Systems	Endocrine system	Ovarian steroidogenesis	Other
Organismal Systems	Endocrine system	Estrogen signaling pathway	Other
Organismal Systems	Endocrine system	Progesterone-mediated oocyte maturation	Other
Organismal Systems	Endocrine system	Prolactin signaling pathway	Other
Organismal Systems	Endocrine system	Oxytocin signaling pathway	Other
Organismal Systems	Endocrine system	Thyroid hormone synthesis	Other
Organismal Systems	Endocrine system	Thyroid hormone signaling pathway	Other
Organismal Systems	Endocrine system	Melanogenesis	Other
Organismal Systems	Endocrine system	Renin secretion	Other
Organismal Systems	Endocrine system	Renin-angiotensin system	Other
Organismal Systems	Endocrine system	Aldosterone synthesis and secretion	Other
Organismal Systems	Circulatory system	Cardiac muscle contraction	Other
Organismal Systems	Circulatory system	Adrenergic signaling in cardiomyocytes	Other
Organismal Systems	Circulatory system	Vascular smooth muscle contraction	Other
Organismal Systems	Digestive system	Salivary secretion	Other
Organismal Systems	Digestive system	Gastric acid secretion	Other
Organismal Systems	Digestive system	Pancreatic secretion	Other
Organismal Systems	Digestive system	Bile secretion	Other
Organismal Systems	Digestive system	Carbohydrate digestion and absorption	Other
Organismal Systems	Digestive system	Protein digestion and absorption	Other
Organismal Systems	Digestive system	Fat digestion and absorption	Other
Organismal Systems	Digestive system	Vitamin digestion and absorption	Other
Organismal Systems	Digestive system	Mineral absorption	Other
Organismal Systems	Excretory system	Vasopressin-regulated water reabsorption	Other
Organismal Systems	Excretory system	Aldosterone-regulated sodium reabsorption	Other
Organismal Systems	Excretory system	Endocrine and other factor-regulated calcium reabsorption	Other
Organismal Systems	Excretory system	Proximal tubule bicarbonate reclamation	Other
Organismal Systems	Excretory system	Collecting duct acid secretion	Other
Organismal Systems	Nervous system	Glutamatergic synapse	Other
Organismal Systems	Nervous system	GABAergic synapse	Other
Organismal Systems	Nervous system	Cholinergic synapse	Other
Organismal Systems	Nervous system	Dopaminergic synapse	Other
Organismal Systems	Nervous system	Serotonergic synapse	Other
Organismal Systems	Nervous system	Long-term potentiation	Other
Organismal Systems	Nervous system	Long-term depression	Other
Organismal Systems	Nervous system	Retrograde endocannabinoid signaling	Other
Organismal Systems	Nervous system	Synaptic vesicle cycle	Other
Organismal Systems	Nervous system	Neurotrophin signaling pathway	Other
Organismal Systems	Sensory system	Phototransduction	Other
Organismal Systems	Sensory system	Phototransduction - fly	Other
Organismal Systems	Sensory system	Olfactory transduction	Other
Organismal Systems	Sensory system	Taste transduction	Other
Organismal Systems	Sensory system	Inflammatory mediator regulation of TRP channels	Other
Organismal Systems	Development	Dorso-ventral axis formation	Other
Organismal Systems	Development	Axon guidance	Other
Organismal Systems	Development	Osteoclast differentiation	Other
Organismal Systems	Environmental adaptation	Circadian rhythm	Environmental adaptation
Organismal Systems	Environmental adaptation	Circadian entrainment	Environmental adaptation
Organismal Systems	Environmental adaptation	Circadian rhythm - fly	Environmental adaptation
Organismal Systems	Environmental adaptation	Circadian rhythm - plant	Environmental adaptation
Organismal Systems	Environmental adaptation	Plant-pathogen interaction	Environmental adaptation
Human Diseases	Cancers: Overview	Pathways in cancer	Other
Human Diseases	Cancers: Overview	Central carbon metabolism in cancer	Other
Human Diseases	Cancers: Overview	Choline metabolism in cancer	Other
Human Diseases	Cancers: Overview	Transcriptional misregulation in cancer	Other
Human Diseases	Cancers: Overview	MicroRNAs in cancer	Other
Human Diseases	Cancers: Overview	Proteoglycans in cancer	Other
Human Diseases	Cancers: Overview	Chemical carcinogenesis	Other
Human Diseases	Cancers: Overview	Viral carcinogenesis	Other
Human Diseases	Cancers: Specific types	Colorectal cancer	Other
Human Diseases	Cancers: Specific types	Pancreatic cancer	Other
Human Diseases	Cancers: Specific types	Glioma	Other
Human Diseases	Cancers: Specific types	Thyroid cancer	Other
Human Diseases	Cancers: Specific types	Acute myeloid leukemia	Other
Human Diseases	Cancers: Specific types	Chronic myeloid leukemia	Other
Human Diseases	Cancers: Specific types	Basal cell carcinoma	Other
Human Diseases	Cancers: Specific types	Melanoma	Other
Human Diseases	Cancers: Specific types	Renal cell carcinoma	Other
